===========================
  Segment 5: type=complex, RMSE=0.01760
  Segment 6: type=complex, RMSE=0.02286
  Segment 7: type=tube, RMSE=0.01647
  Segment 9: type=complex, RMSE=0.01480
File valve_0023_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01583
  Segment 1: type=complex, RMSE=0.02077
  Segment 2: type=tube, RMSE=0.01351
  Segment 3: type=tube, RMSE=0.01305
  Segment 4: type=complex, RMSE=0.02402
  Segment 5: type=complex, RMSE=0.02042
  Segment 6: type=complex, RMSE=0.02494
  Segment 7: type=tube, RMSE=0.01685
  Segment 8: type=plane, RMSE=0.01223
  Segment 9: type=complex, RMSE=0.01489
File valve_0024_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01677
  Segment 1: type=complex, RMSE=0.02228
  Segment 2: type=complex, RMSE=0.02712
  Segment 3: type=plane, RMSE=0.01455
  Segment 4: type=plane, RMSE=0.01688
  Segment 5: type=complex, RMSE=0.01911
  Segment 6: type=complex, RMSE=0.02526
  Segment 7: type=tube, RMSE=0.01473
  Segment 9: type=complex, RMSE=0.01602
File valve_0025_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01561
  Segment 1: type=complex, RMSE=0.02108
  Segment 2: type=tube, RMSE=0.01308
  Segment 3: type=complex, RMSE=0.01634
  Segment 4: type=complex, RMSE=0.01841
  Segment 5: type=complex, RMSE=0.01796
  Segment 6: type=complex, RMSE=0.02315
  Segment 7: type=tube, RMSE=0.02443
  Segment 8: type=complex, RMSE=0.01481
  Segment 9: type=complex, RMSE=0.01558
File valve_0026_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01605
  Segment 1: type=complex, RMSE=0.01899
  Segment 2: type=tube, RMSE=0.01332
  Segment 3: type=complex, RMSE=0.01953
  Segment 4: type=plane, RMSE=0.01642
  Segment 5: type=complex, RMSE=0.02099
  Segment 6: type=complex, RMSE=0.02704
  Segment 7: type=tube, RMSE=0.01382
  Segment 8: type=plane, RMSE=0.01081
  Segment 9: type=complex, RMSE=0.01451
File valve_0027_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01482
  Segment 1: type=complex, RMSE=0.01876
  Segment 2: type=tube, RMSE=0.01392
  Segment 3: type=tube, RMSE=0.01235
  Segment 4: type=complex, RMSE=0.01856
  Segment 5: type=tube, RMSE=0.01754
  Segment 6: type=complex, RMSE=0.02577
  Segment 7: type=tube, RMSE=0.01546
  Segment 8: type=plane, RMSE=0.01182
  Segment 9: type=complex, RMSE=0.01586
File valve_0028_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01900
  Segment 1: type=complex, RMSE=0.02102
  Segment 2: type=tube, RMSE=0.01582
  Segment 3: type=plane, RMSE=0.01521
  Segment 4: type=plane, RMSE=0.01971
  Segment 5: type=complex, RMSE=0.01992
  Segment 6: type=complex, RMSE=0.02730
  Segment 7: type=tube, RMSE=0.02498
  Segment 9: type=complex, RMSE=0.01886
File valve_0029_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01785
  Segment 1: type=complex, RMSE=0.01747
  Segment 2: type=complex, RMSE=0.02146
  Segment 3: type=complex, RMSE=0.01606
  Segment 4: type=plane, RMSE=0.01737
  Segment 5: type=complex, RMSE=0.01731
  Segment 6: type=complex, RMSE=0.02654
  Segment 7: type=tube, RMSE=0.02279
  Segment 9: type=complex, RMSE=0.01734
File valve_0030_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01659
  Segment 1: type=complex, RMSE=0.02157
  Segment 2: type=tube, RMSE=0.01380
  Segment 3: type=plane, RMSE=0.01550
  Segment 5: type=complex, RMSE=0.01664
  Segment 6: type=complex, RMSE=0.02371
  Segment 7: type=tube, RMSE=0.01595
  Segment 9: type=complex, RMSE=0.01655
File valve_0031_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01818
  Segment 1: type=complex, RMSE=0.02029
  Segment 2: type=tube, RMSE=0.01421
  Segment 3: type=tube, RMSE=0.01295
  Segment 4: type=complex, RMSE=0.02348
  Segment 5: type=tube, RMSE=0.02403
  Segment 6: type=complex, RMSE=0.02859
  Segment 7: type=tube, RMSE=0.01446
  Segment 8: type=plane, RMSE=0.01179
  Segment 9: type=complex, RMSE=0.01555
File valve_0032_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.02016
  Segment 1: type=complex, RMSE=0.02206
  Segment 2: type=complex, RMSE=0.02713
